日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2019-11-01,payment,【現金】,食費,お財布,-,,,-,JPY,0,488,0,0,488,常に集計に含める
2019-11-01,income,報酬,-,-,銀行,,,"振込 セリザワ レナ",JPY,39000,0,0,0,39000,常に集計に含める
2019-11-02,payment,食費,食費,カード,-,,,東急ストア,JPY,0,721,0,0,721,常に集計に含める
2019-11-03,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,360,0,0,360,常に集計に含める
2019-11-03,payment,エンタメ,家具/電化,カード,-,,,"インクのチップス 楽天市場店 楽天市場",JPY,0,2050,0,0,2050,常に集計に含める
2019-11-03,payment,食費,食費,カード,-,,,東急ストア,JPY,0,1331,0,0,1331,常に集計に含める
2019-11-05,payment,【現金】,食費,お財布,-,,,-,JPY,0,455,0,0,455,常に集計に含める
2019-11-05,payment,食費,食費,カード,-,,,東急ストア,JPY,0,1274,0,0,1274,常に集計に含める
2019-11-06,balance,-,-,-,カード,,,-,JPY,0,0,0,360,360,常に集計に含める
2019-11-06,payment,食費,食費,カード,-,,,ファミリーマート,JPY,0,144,0,0,144,常に集計に含める
2019-11-06,payment,ガス・電気,ガス,カード,-,,,"MNS ジエイエイエナジーサイタマ",JPY,0,5248,0,0,5248,常に集計に含める
2019-11-07,payment,【現金】,交際費,お財布,-,,016,-,JPY,0,1000,0,0,1000,常に集計に含める
2019-11-07,payment,【現金】,医療費,お財布,-,,,-,JPY,0,2320,0,0,2320,常に集計に含める
2019-11-07,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,500,0,0,500,常に集計に含める
2019-11-08,balance,-,-,-,カード,,,-,JPY,0,0,0,4781,4781,常に集計に含める
2019-11-08,income,交際費,-,-,お財布,,"018 居酒屋",-,JPY,2500,0,0,0,2500,常に集計に含める
2019-11-08,payment,【現金】,食費,お財布,-,,,-,JPY,0,569,0,0,569,常に集計に含める
2019-11-08,payment,【現金】,日用品,お財布,-,,,-,JPY,0,988,0,0,988,常に集計に含める
2019-11-08,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,1000,0,0,1000,常に集計に含める
2019-11-08,payment,ペット,用品,カード,-,,,"熱帯倶楽部 本店",JPY,0,1584,0,0,1584,常に集計に含める
2019-11-08,payment,交際費,外食,カード,-,,,"シヨウヤ ウラワミソノテン",JPY,0,7018,0,0,7018,常に集計に含める
2019-11-09,payment,【現金】,食費,お財布,-,,,-,JPY,0,452,0,0,452,常に集計に含める
2019-11-09,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,1000,0,0,1000,常に集計に含める
2019-11-09,payment,交際費,外食,カード,-,,,ヤキトリセンターオオミヤヒガシ,JPY,0,5434,0,0,5434,常に集計に含める
2019-11-09,payment,エンタメ,書籍,カード,-,,,"ブックオフオンライン楽天市場店 楽天市場",JPY,0,1746,0,0,1746,常に集計に含める
2019-11-09,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,358,0,0,358,常に集計に含める
2019-11-09,payment,食費,食費,カード,-,,,東急ストア,JPY,0,181,0,0,181,常に集計に含める
2019-11-10,payment,【現金】,食費,お財布,-,,,-,JPY,0,830,0,0,830,常に集計に含める
2019-11-10,payment,食費,食費,カード,-,,,ファミリーマート,JPY,0,206,0,0,206,常に集計に含める
2019-11-10,payment,食費,食費,カード,-,,,ピザハツトキタコシガヤテン,JPY,0,1920,0,0,1920,常に集計に含める
2019-11-11,income,臨時収入,-,-,お財布,,忘れ物,-,JPY,920,0,0,0,920,常に集計に含める
2019-11-11,payment,【現金】,食費,お財布,-,,,-,JPY,0,626,0,0,626,常に集計に含める
2019-11-11,payment,【現金】,食費,お財布,-,,,-,JPY,0,542,0,0,542,常に集計に含める
2019-11-12,balance,-,-,カード,-,,,-,JPY,0,0,0,12504,12504,常に集計に含める
2019-11-12,payment,エンタメ,イベント,カード,-,,,カルイザワプリンスホテルスキ,JPY,0,9800,0,0,9800,常に集計に含める
2019-11-12,payment,エンタメ,家具/電化,カード,-,,,Amazon.co.jp,JPY,0,5379,0,0,5379,常に集計に含める
2019-11-12,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,657,0,0,657,常に集計に含める
2019-11-12,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,862,0,0,862,常に集計に含める
2019-11-12,payment,交際費,イベント,カード,-,,ホテル,楽天トラベル,JPY,0,12000,0,0,12000,常に集計に含める
2019-11-12,payment,【現金】,食費,-,-,,,-,JPY,0,970,0,0,970,常に集計に含める
2019-11-13,payment,【現金】,食費,お財布,-,,,-,JPY,0,190,0,0,190,常に集計に含める
2019-11-13,payment,交際費,外食,カード,-,,,シヤブシヤブドンテイヒガ,JPY,0,5258,0,0,5258,常に集計に含める
2019-11-13,payment,食費,食費,カード,-,,,"MIO ランザンパーキングエリアノ",JPY,0,343,0,0,343,常に集計に含める
2019-11-14,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,209,0,0,209,常に集計に含める
2019-11-14,payment,食費,食費,カード,-,,,東急ストア,JPY,0,484,0,0,484,常に集計に含める
2019-11-14,payment,【現金】,食費,-,-,,,-,JPY,0,979,0,0,979,常に集計に含める
2019-11-15,income,給与所得,-,-,銀行,,,"振込 エーアンドテイーカンハ",JPY,205925,0,0,0,205925,常に集計に含める
2019-11-15,payment,食費,食費,カード,-,,,東急ストア,JPY,0,436,0,0,436,常に集計に含める
2019-11-15,payment,通信,モバイル,カード,-,,,"MSP ソフトバンクモバイル（10ガツ）",JPY,0,23071,0,0,23071,常に集計に含める
2019-11-15,payment,ガス・電気,電気,カード,-,,,東京電力,JPY,0,5576,0,0,5576,常に集計に含める
2019-11-15,payment,【現金】,食費,-,-,,,-,JPY,0,523,0,0,523,常に集計に含める
2019-11-15,payment,【現金】,日用品,-,-,,,-,JPY,0,440,0,0,440,常に集計に含める
2019-11-16,payment,【現金】,食費,お財布,-,,,-,JPY,0,860,0,0,860,常に集計に含める
2019-11-16,transfer,-,-,銀行,お財布,,,"ATM から現金引出",JPY,0,0,10000,0,10000,集計に含めない
2019-11-16,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,220,0,0,220,常に集計に含める
2019-11-17,payment,【現金】,食費,-,-,,,-,JPY,0,734,0,0,734,常に集計に含める
2019-11-17,payment,【現金】,食費,-,-,,,-,JPY,0,540,0,0,540,常に集計に含める
2019-11-18,payment,【現金】,食費,-,-,,,-,JPY,0,830,0,0,830,常に集計に含める
2019-11-18,payment,エンタメ,書籍,カード,-,,,"タイムクリツプ キタコシガヤ",JPY,0,1452,0,0,1452,常に集計に含める
2019-11-19,payment,食費,食費,カード,-,,,"MIO ウエルシアコシガヤオオフサテン",JPY,0,205,0,0,205,常に集計に含める
2019-11-19,payment,【現金】,食費,-,-,,,-,JPY,0,299,0,0,299,常に集計に含める
2019-11-20,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,607,0,0,607,常に集計に含める
